,ingredient_amount,ingredient_unit,ingredient_name,type_string,type_num,cocktail_id,cocktail_name
306,44.36025,ml,Reposado Tequila,Tequila,6,55,Oaxacan Dream
307,14.78675,ml,Mezcal,Mezcal,20,55,Oaxacan Dream
308,22.180125,ml,Dry vermouth,Wine,8,55,Oaxacan Dream
309,7.393375,ml,Bénédictine,General,0,55,Oaxacan Dream
310,2,ds,"Bitters, Bittermens Xocolatl Mole",General,0,55,Oaxacan Dream
311,1,twst,Grapefruit peel,Garnish,11,55,Oaxacan Dream
312,44.36025,ml,Tequila,Tequila,6,56,Oaxacan Smash
313,14.78675,ml,Mezcal,Mezcal,20,56,Oaxacan Smash
314,14.78675,ml,Agave Syrup,General,0,56,Oaxacan Smash
315,3,wdg,Lime,General,0,56,Oaxacan Smash
316,2,lf,Sage,General,0,56,Oaxacan Smash
317,1,spg,Sage,Garnish,11,56,Oaxacan Smash
318,44.36025,ml,Pear eau de vie,Brandy,5,57,October's Still Green
319,14.78675,ml,Lime juice,General,0,57,October's Still Green
320,7.393375,ml,Simple syrup,General,0,57,October's Still Green
321,1,t,"Herbal liqueur, Green Chartreuse",Liqueur,10,57,October's Still Green
322,1,spg,Rosemary,General,0,57,October's Still Green
323,39.43133333333333,ml,"Rum, Bacardi 8",Rum,2,58,Ocho Maneras
324,29.5735,ml,"Dry vermouth, Martini & Rossi",Wine,8,58,Ocho Maneras
325,9.857833333333332,ml,"Elderflower liqueur, St. Germain",Liqueur,10,58,Ocho Maneras
326,2,ds,Orange bitters,General,0,58,Ocho Maneras
327,1,ds,Salt Solution,General,0,58,Ocho Maneras
328,1,twst,Orange peel,General,0,58,Ocho Maneras
329,59.147,ml,"Gin, Hendrick's",Gin,1,59,Off The Vine
330,14.78675,ml,"Vodka, Sobieski (Cucumber infused)",Vodka,3,59,Off The Vine
331,14.78675,ml,"Aromatized wine, Cocchi Americano",Wine,8,59,Off The Vine
332,7.393375,ml,Lemon juice,General,0,59,Off The Vine
333,2,ds,"Celery bitters, Bitter Truth Celery",General,0,59,Off The Vine
334,59.147,ml,Bourbon,Whisky,4,60,Old Dutchman
335,4,dr,"Blackstrap Bitters, Bittercube",General,0,60,Old Dutchman
336,2,t,Maple syrup,General,0,60,Old Dutchman
337,29.5735,ml,Red Birch Beer,Beer,7,60,Old Dutchman
338,1,spg,Cinnamon Stick,General,0,60,Old Dutchman
339,1,?,Brandied cherry,General,0,60,Old Dutchman
340,44.36025,ml,Light rum (Overproof),Rum,2,61,Old Painless is Waiting
341,29.5735,ml,Coconut Water,General,0,61,Old Painless is Waiting
342,22.180125,ml,Lime juice,General,0,61,Old Painless is Waiting
343,14.78675,ml,Pineapple syrup,General,0,61,Old Painless is Waiting
344,7.393375,ml,"Curaçao, Pierre Ferrand Dry",Liqueur,10,61,Old Painless is Waiting
345,6,dr,Absinthe,Spirits,21,61,Old Painless is Waiting
346,1,pn,Nutmeg,Garnish,11,61,Old Painless is Waiting
347,29.5735,ml,Apple brandy (Aged),Brandy,5,62,Old Number One
348,29.5735,ml,Scotch,Whisky,4,62,Old Number One
349,29.5735,ml,Sweet vermouth,Wine,8,62,Old Number One
350,2,ds,"Bitters, Angostura",General,0,62,Old Number One
351,1,,Cherry,Garnish,11,62,Old Number One
352,59.147,ml,Cachaça,Rum,2,63,Old Sao Paolo
353,14.78675,ml,Elisir M. P. Roux (or Green Chartreuse),Liqueur,10,63,Old Sao Paolo
354,1⁄2,,Lime (muddled),General,0,63,Old Sao Paolo
355,2,,Kumquat,General,0,63,Old Sao Paolo
356,1⁄2,t,Simple syrup,General,0,63,Old Sao Paolo
357,4,ds,"Bitters, Fee Brothers Whiskey Barrel Aged",Whisky,4,63,Old Sao Paolo
358,1,,Orange peel,Garnish,11,63,Old Sao Paolo
359,59.147,ml,"Rye, Wild Turkey",Whisky,4,64,On the Night You Were Born
