,ingredient_amount,ingredient_unit,ingredient_name,type_string,type_num,cocktail_id,cocktail_name,url
159,1,dash,Angostura Aromatic Bitters,General,0,3023,Newport,https://www.diffordsguide.com/cocktails/recipe/16597/newport
160,,,Lemon zest twist,Garnish,11,3023,Newport,https://www.diffordsguide.com/cocktails/recipe/16597/newport
161,30,ml,Jamaican aged blended rum,Rum,2,3024,Bosun Bird,https://www.diffordsguide.com/cocktails/recipe/16594/bosun-bird
162,15,ml,Green Chartreuse liqueur,Liqueur,10,3024,Bosun Bird,https://www.diffordsguide.com/cocktails/recipe/16594/bosun-bird
163,15,ml,De Kuyper Triple Sec (40%),Liqueur,10,3024,Bosun Bird,https://www.diffordsguide.com/cocktails/recipe/16594/bosun-bird
164,15,ml,Luxardo Maraschino liqueur,Liqueur,10,3024,Bosun Bird,https://www.diffordsguide.com/cocktails/recipe/16594/bosun-bird
165,22.5,ml,Lime juice,General,0,3024,Bosun Bird,https://www.diffordsguide.com/cocktails/recipe/16594/bosun-bird
166,,,Skewered Luxardo Maraschino cherry,Garnish,11,3024,Bosun Bird,https://www.diffordsguide.com/cocktails/recipe/16594/bosun-bird
167,1,dried,Star anise,General,0,3025,Stiletta,https://www.diffordsguide.com/cocktails/recipe/16618/stiletta
168,30,ml,Italian red bitter liqueur,Liqueur,10,3025,Stiletta,https://www.diffordsguide.com/cocktails/recipe/16618/stiletta
169,45,ml,Patrón Silver blanco tequila,Tequila,6,3025,Stiletta,https://www.diffordsguide.com/cocktails/recipe/16618/stiletta
170,30,ml,Antica Formula,Wine,8,3025,Stiletta,https://www.diffordsguide.com/cocktails/recipe/16618/stiletta
171,,,Star anise,Garnish,11,3025,Stiletta,https://www.diffordsguide.com/cocktails/recipe/16618/stiletta
172,45,ml,Rutte Dry Gin,Gin,1,3026,Green Eyes No.2,https://www.diffordsguide.com/cocktails/recipe/16567/green-eyes-no2
173,22.5,ml,Lime juice,General,0,3026,Green Eyes No.2,https://www.diffordsguide.com/cocktails/recipe/16567/green-eyes-no2
174,22.5,ml,Green Chartreuse liqueur,Liqueur,10,3026,Green Eyes No.2,https://www.diffordsguide.com/cocktails/recipe/16567/green-eyes-no2
175,15,ml,Sugar syrup (rich),General,0,3026,Green Eyes No.2,https://www.diffordsguide.com/cocktails/recipe/16567/green-eyes-no2
176,15,ml,Pasteurised egg white (or aquafaba),General,0,3026,Green Eyes No.2,https://www.diffordsguide.com/cocktails/recipe/16567/green-eyes-no2
177,,,Lime slice,Garnish,11,3026,Green Eyes No.2,https://www.diffordsguide.com/cocktails/recipe/16567/green-eyes-no2
178,,,Luxardo Maraschino cherry sail,Garnish,11,3026,Green Eyes No.2,https://www.diffordsguide.com/cocktails/recipe/16567/green-eyes-no2
179,45,ml,Rutte Dry Gin,Gin,1,3027,Wallick,https://www.diffordsguide.com/cocktails/recipe/16421/wallick
180,45,ml,Dry vermouth,Wine,8,3027,Wallick,https://www.diffordsguide.com/cocktails/recipe/16421/wallick
181,5,ml,Orange Curaçao liqueur,Liqueur,10,3027,Wallick,https://www.diffordsguide.com/cocktails/recipe/16421/wallick
182,,,Orange zest twist,Garnish,11,3027,Wallick,https://www.diffordsguide.com/cocktails/recipe/16421/wallick
183,40,ml,Rémy Martin 1738 Cognac,Brandy,5,3028,Bottoms Up,https://www.diffordsguide.com/cocktails/recipe/16593/bottoms-up
184,20,ml,Orange Curaçao liqueur,Liqueur,10,3028,Bottoms Up,https://www.diffordsguide.com/cocktails/recipe/16593/bottoms-up
185,5,ml,Giffard Grenadine syrup,General,0,3028,Bottoms Up,https://www.diffordsguide.com/cocktails/recipe/16593/bottoms-up
186,5,ml,Cream (heavy),General,0,3028,Bottoms Up,https://www.diffordsguide.com/cocktails/recipe/16593/bottoms-up
187,1,,Egg yolk,General,0,3028,Bottoms Up,https://www.diffordsguide.com/cocktails/recipe/16593/bottoms-up
188,,,Orange zest twist,Garnish,11,3028,Bottoms Up,https://www.diffordsguide.com/cocktails/recipe/16593/bottoms-up
189,45,ml,Rutte Dry Gin,Gin,1,3029,Milady's Martini,https://www.diffordsguide.com/cocktails/recipe/16568/miladys-martini
190,22.5,ml,Rosato/rosé vermouth,Wine,8,3029,Milady's Martini,https://www.diffordsguide.com/cocktails/recipe/16568/miladys-martini
191,22.5,ml,Fino sherry,Wine,8,3029,Milady's Martini,https://www.diffordsguide.com/cocktails/recipe/16568/miladys-martini
